,product_id,product_name,discounted_price,actual_price,rating,rating_count,main category,sub category,discount_percentage %,quality of product
526,B0B2DJ5RVQ,"WeCool B1 Mobile Holder for Bikes or Bike Mobile Holder for Maps and GPS Navigation, one Click Locking, Firm Gripping, Anti Shake and Stable Cradle Clamp with 360° Rotation Bicycle Phone Mount",689.0,1999.0,4.3,1193.0,Electronics,Mounts,66.0,excellent
527,B096TWZRJC,"Sounce 360 Adjustable Mobile Phone Holder, Universal Phone Holder Clip Lazy Bracket Flexible Gooseneck Clamp Long Arms Mount for Mobile Tabletop Stand for Bedroom, Office, Bathroom, White",499.0,1899.0,4.1,1475.0,Electronics,Mounts,74.0,excellent
528,B09GP6FBZT,OpenTech® Military-Grade Tempered Glass Screen Protector Compatible for iPhone 13/13 Pro / 14 with Edge to Edge Coverage and Easy Installation kit (6.1 Inches),299.0,999.0,4.3,8891.0,Electronics,"Maintenance,Upkeep&Repairs",70.0,excellent
529,B0B3DV7S9B,"EN LIGNE Adjustable Cell Phone Stand, Foldable Portable Phone Stand Phone Holder for Desk, Desktop Tablet Stand Compatible with Mobile Phone/iPad/Tablet (Black)",209.0,499.0,3.6,104.0,Electronics,Stands,58.0,very good
531,B08JW1GVS7,"URBN 20000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)",2179.0,3999.0,4.0,8380.0,Electronics,Chargers,46.0,excellent
534,B08H21B6V7,Nokia 150 (2020) (Cyan),2599.0,2999.0,3.9,14266.0,Electronics,BasicMobiles,13.0,very good
538,B0B54Y2SNX,"iPhone Original 20W C Type Fast PD Charger Compatible with I-Phone13/13 mini/13pro/13 pro Max I-Phone 12/12 Pro/12mini/12 Pro Max, I-Phone11/11 Pro/11 Pro Max 2020 (Only Adapter)",799.0,3990.0,3.8,119.0,Electronics,Chargers,80.0,very good
539,B08BQ947H3,"LIRAMARK Webcam Cover Slide, Ultra Thin Laptop Camera Cover Slide Blocker for Computer MacBook Pro iMac PC Tablet (Pack of 3)",149.0,149.0,4.3,10833.0,Computers&Accessories,CameraPrivacyCovers,0.0,excellent
541,B0B7DHSKS7,"Nokia 8210 4G Volte keypad Phone with Dual SIM, Big Display, inbuilt MP3 Player & Wireless FM Radio | Blue",3799.0,5299.0,3.5,1641.0,Electronics,BasicMobiles,28.0,very good
542,B09SJ1FTYV,Sounce Protective Case Cover Compatible Boat Xtend Overall Protective Case TPU HD Clear Ultra-Thin Cover with Unbreakable Screen Guard,199.0,1899.0,4.0,4740.0,Electronics,Cases&Covers,90.0,excellent
